(Do Not Modify) Licence,(Do Not Modify) Modified On,(Do Not Modify) Row Checksum,Contact Email,Contact Phone Number,Establishment Address City,Establishment Address Postal Code,Establishment Address Street,Investigated / Applied Online,LG / IN,Licence Type,Licensee,Name,Notes,Website URL
0cd2f19f-4573-eb11-b81b-005056832755,"May 1, 2025 12:37 AM (PDT)",7jPKv4SwbY3DWlGvhxvKU+yCo0XgbwJaeI6mEmZnyK9DXmyhrCL3UmvGDGaw09Kb+7nOrK8F3lc1s191lcBdpA==,,,PRINCETON,V0X1W0,170 Bridge St.,No,Princeton,Liquor Primary Club,Royal Canadian Legion Branch 56 George Pearkes,"Royal Canadian Legion, Branch No.  56 (075139)",,
a6d3f19f-4573-eb11-b81b-005056832755,"November 4, 2024 10:15 PM (PST)",/u1YnFsadspHxgDkLWqzsn1S29tUmKZBFOR/4Abb5gHJzvXMFJHb+MwHpQmTwTCF2gX7HAmCLZEPR++hJTwrPg==,,,QUALICUM BEACH,V9K1L8,180 Veterans Way,No,Qualicum Beach,Liquor Primary Club,R.C.L. # 76,"ROYAL CANADIAN LEGION, BRANCH NO.  76 (033429)",,
8ccaf19f-4573-eb11-b81b-005056832755,"January 16, 2025 9:07 PM (PST)",qTUC0ZvI02P5vP5wVUKeKStBeqDPs0buMd58WTRSp1zGMKaqRZpSe6CJgW9nJSnHhQSiTmu8YtKP+jh5hrjkyg==,,,QUALICUM BEACH,V9K1L8,644 MEMORIAL AVE,No,Qualicum Beach,Liquor Primary,Qualicum & District Recreation Club,QUALICUM & DISTRICT RECREATION CLUB (035075),,
f7ff7096-d5e4-eb11-b82b-005056838fcd,"June 1, 2025 3:19 PM (PDT)",DsKSUfSSeqzQLpQbUd/vCHaWOjWgUCQ0EAetX+VvHtnQw25Qdu0VcBxWuhnAKnYCsjiUso6QtKuCNxmhICjANQ==,,,Queen Charlotte Island,V0T1S0,Naden Harbour,No,Masset,Liquor Primary,Queen Charlotte Lodge Ltd.,The Bell Ringer,,
b67dd2c1-9673-eb11-b81b-005056832174,"April 9, 2025 11:44 PM (PDT)",pVnc3WD7UE5nueD8eBylJkOSVOohtIoUiV8gzpLoyIYjFBXqPxXHxiAbeGSI6c9UP9kmK0l7p5LoskQaUzR1Fg==,,,QUESNEL,V2J2T1,330 Vaughan Street,No,Quesnel,Liquor Primary,City Of Quesnel,West Fraser Centre  (308446),,
dc7dd2c1-9673-eb11-b81b-005056832174,"December 17, 2024 7:57 PM (PST)",1WgxRaKLvbHz9UwE+Mt7YueGs2DZxRNd9mBXBEfitUrrXlP7eES2zi6nE6cJ0Yj/7XYFs/MlCtrq5PJpq9dHOw==,,,QUEEN CHARLOTTE CITY,V0T1S0,2600 3rd Ave,No,North Coast Regional District,Liquor Primary,Misty Harbour Inn Ltd.,Misty Harbour Inn (010155),,
7ad0f19f-4573-eb11-b81b-005056832755,"July 8, 2024 9:00 PM (PDT)",QbHVaXgnxGoJ5+gPleHYBwjE4n4wJqgp2emc/bjN82BkBkPgK0iK/A4TePejbHoPS/GK1xIH307HZsh0oa0VMw==,,,QUESNEL,V2J2H6,452 Reid Street,No,Quesnel,Liquor Primary,Rev Bowling Lanes Ltd.,Rev Bowling Lanes  (306089),,
f4c8f19f-4573-eb11-b81b-005056832755,"April 3, 2025 1:33 PM (PDT)",4ti1NV75PJ7l3GTTrEvOK9j2U+2gPnzCbRzkO9af8+Z3fwPnPaLS3Y7zDbeMZLfKEYlIJKHkstueOVBokfCWqw==,,,QUESNEL,V2J2M9,500 REID ST,No,Quesnel,Liquor Primary,Reliance Investment Group Ltd.,TOWER INN (145352),,
654bdabb-9673-eb11-b81b-005056832174,"October 4, 2024 10:08 PM (PDT)",lnio5EEa2sj9krzKqQtMRbEDGIHHo9ZXPSCIs5vb/sXOPy2WTfDpVeyU51OQRFreVC7itSTSdOh7bxRIQEH5Kg==,,,QUESNEL,V2J2R2,262 Kinchant St,No,Quesnel,Liquor Primary Club,ROYAL CANADIAN LEGION BRANCH 94,"ROYAL CANADIAN LEGION, BRANCH NO.  94 (053231)",,
76d7f19f-4573-eb11-b81b-005056832755,"October 3, 2024 9:00 PM (PDT)",SfaijXqtDCwDLcOTg3lVhb5JZfy9/aYlFCqHUELRz0kjuzym5ejfszPZnhyKosoGgHie7+xxLctLsR6Iu3lPGg==,,,QUESNEL,V2J3J2,550 BARLOW ST BOX 4041,No,Quesnel,Liquor Primary Club,QUESNEL CURLING CLUB,QUESNEL CURLING CLUB (010333),,
4c7dd2c1-9673-eb11-b81b-005056832174,"October 22, 2024 7:12 PM (PDT)",GnFfT6yFKFTb6cDL5/GJgDHPoqpfnFmZoZ0xmTIsByjEK/1q0s0bMLnM4ldSQJon7WnV++BNykNuzG8rFgXm4Q==,,,QUESNEL,V2J2K2,228 FRONT ST,No,Quesnel,Liquor Primary,ALL TERRAIN OVERLAND GEAR INC.,The Occidental (004157),,
624cf0d3-ab73-eb11-b81b-005056832755,"December 7, 2024 6:36 AM (PST)",uUZyd/BXgVq6D0gbUuZjWgaXiSQfQOHkUIWNS0uzGDp1DJrlHmz4cW9GJbXhMKZYhtrA1mPOtO+pg0aNZnLBrQ==,,,QUESNEL,V2J2K2,254 FRONT ST,No,Quesnel,Liquor Primary,1140411 B.C. LTD.,CARIBOO HOTEL (011342),,
